case_id,complaint_time,fraud_type,reported_amount,complaint_state_code,complaint_state_ut,initial_transaction_id,source_type,source_system,primary_mule_account_id,prediction_time
CASE_000001,2025-01-01 00:04:06,Account Takeover,86526,LA,Ladakh,TXN_0000001,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_006632,2025-01-01 00:34:06
CASE_000002,2025-01-01 00:11:39,Investment Scam,12651,AR,Arunachal Pradesh,TXN_0000002,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_015412,2025-01-01 00:41:39
CASE_000003,2025-01-01 00:21:58,Marketplace Fraud,17864,AR,Arunachal Pradesh,TXN_0000003,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_011899,2025-01-01 00:51:58
CASE_000004,2025-01-01 01:23:09,Phishing,19899,NL,Nagaland,TXN_0000004,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_004854,2025-01-01 01:53:09
CASE_000005,2025-01-01 02:00:56,Investment Scam,71875,HR,Haryana,TXN_0000005,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_003911,2025-01-01 02:30:56
CASE_000006,2025-01-01 02:27:07,Card Fraud,116479,TS,Telangana,TXN_0000006,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_010767,2025-01-01 02:57:07
CASE_000007,2025-01-01 02:58:27,UPI Fraud,31506,OD,Odisha,TXN_0000007,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_000931,2025-01-01 03:28:27
CASE_000008,2025-01-01 04:28:31,Card Fraud,6431,GA,Goa,TXN_0000008,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_005576,2025-01-01 04:58:31
CASE_000009,2025-01-01 04:36:58,Remote Access Scam,16364,GA,Goa,TXN_0000009,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_006488,2025-01-01 05:06:58
CASE_000010,2025-01-01 05:21:05,Loan App Fraud,174446,UK,Uttarakhand,TXN_0000010,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_013326,2025-01-01 05:51:05
CASE_000011,2025-01-01 05:25:42,UPI Fraud,19233,AP,Andhra Pradesh,TXN_0000011,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_010689,2025-01-01 05:55:42
CASE_000012,2025-01-01 05:37:24,Account Takeover,85039,MP,Madhya Pradesh,TXN_0000012,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_018807,2025-01-01 06:07:24
CASE_000013,2025-01-01 05:45:04,Account Takeover,13815,MP,Madhya Pradesh,TXN_0000013,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_014211,2025-01-01 06:15:04
CASE_000014,2025-01-01 06:24:58,Remote Access Scam,94071,CH,Chandigarh,TXN_0000014,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_002764,2025-01-01 06:54:58
CASE_000015,2025-01-01 07:42:52,Account Takeover,39066,GJ,Gujarat,TXN_0000015,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_015916,2025-01-01 08:12:52
CASE_000016,2025-01-01 08:18:07,OTP Fraud,74625,TN,Tamil Nadu,TXN_0000016,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_008755,2025-01-01 08:48:07
CASE_000017,2025-01-01 08:42:16,Loan App Fraud,83571,MZ,Mizoram,TXN_0000017,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_009089,2025-01-01 09:12:16
