transaction_id,timestamp,source_account,destination_account,amount,channel,transaction_direction,case_id,source_type
TXN_0000001,2025-01-01 00:04:06,VICTIM_CASE_000001,ACC_006632,86526,UPI,CREDIT,CASE_000001,SYNTHETIC_PROTOTYPE
TXN_0000002,2025-01-01 00:10:06,ACC_006632,ACC_009021,10083,WALLET,DEBIT,CASE_000001,SYNTHETIC_PROTOTYPE
TXN_0000003,2025-01-01 01:21:06,ACC_009021,ACC_008328,27148,WALLET,DEBIT,CASE_000001,SYNTHETIC_PROTOTYPE
TXN_0000004,2025-01-01 02:11:06,ACC_008328,ACC_009575,9528,NEFT,DEBIT,CASE_000001,SYNTHETIC_PROTOTYPE
TXN_0000005,2025-01-01 03:44:06,ACC_009575,ACC_008328,12378,CARD,DEBIT,CASE_000001,SYNTHETIC_PROTOTYPE
TXN_0000006,2025-01-01 05:10:06,ACC_008328,ACC_009575,1454,IMPS,DEBIT,CASE_000001,SYNTHETIC_PROTOTYPE
TXN_0000007,2025-01-01 06:43:06,ACC_009575,ACC_009021,6472,UPI,DEBIT,CASE_000001,SYNTHETIC_PROTOTYPE
TXN_0000008,2025-01-01 08:13:06,ACC_009021,ACC_013115,4677,UPI,DEBIT,CASE_000001,SYNTHETIC_PROTOTYPE
TXN_0000009,2025-01-01 08:25:06,ACC_013115,ACC_009021,4564,WALLET,DEBIT,CASE_000001,SYNTHETIC_PROTOTYPE
TXN_0000010,2025-01-01 09:40:06,ACC_009021,ACC_009575,2470,IMPS,DEBIT,CASE_000001,SYNTHETIC_PROTOTYPE
TXN_0000011,2025-01-01 09:57:06,ACC_009575,ACC_008328,2886,NEFT,DEBIT,CASE_000001,SYNTHETIC_PROTOTYPE
TXN_0000012,2025-01-01 11:28:06,ACC_008328,ACC_012264,520,WALLET,DEBIT,CASE_000001,SYNTHETIC_PROTOTYPE
TXN_0000013,2025-01-01 00:11:39,VICTIM_CASE_000002,ACC_015412,12651,UPI,CREDIT,CASE_000002,SYNTHETIC_PROTOTYPE
TXN_0000014,2025-01-01 01:03:39,ACC_015412,ACC_006239,5662,RTGS,DEBIT,CASE_000002,SYNTHETIC_PROTOTYPE
