withdrawal_id,account_id,atm_id,timestamp,amount,case_id,source_type
W_0000001,ACC_006632,SYN_ATM_09974,2025-01-01 03:18:19,16531,CASE_000001,SYNTHETIC_PROTOTYPE
W_0000002,ACC_011899,SYN_ATM_01467,2025-01-01 06:59:05,4032,CASE_000003,SYNTHETIC_PROTOTYPE
W_0000003,ACC_012625,SYN_ATM_01333,2024-12-31 16:24:50,3456,CASE_000003,SYNTHETIC_PROTOTYPE
W_0000004,ACC_004854,SYN_ATM_13356,2025-01-01 03:37:03,3659,CASE_000004,SYNTHETIC_PROTOTYPE
W_0000005,ACC_003911,SYN_ATM_06176,2025-01-01 05:11:49,18523,CASE_000005,SYNTHETIC_PROTOTYPE
W_0000006,ACC_010767,SYN_ATM_17259,2025-01-01 03:50:36,57377,CASE_000006,SYNTHETIC_PROTOTYPE
W_0000007,ACC_005576,SYN_ATM_05076,2025-01-01 09:44:29,2378,CASE_000008,SYNTHETIC_PROTOTYPE
W_0000008,ACC_006488,SYN_ATM_05312,2025-01-01 10:58:52,4788,CASE_000009,SYNTHETIC_PROTOTYPE
W_0000009,ACC_013326,SYN_ATM_19445,2025-01-01 12:27:54,62862,CASE_000010,SYNTHETIC_PROTOTYPE
W_0000010,ACC_010689,SYN_ATM_00697,2025-01-01 11:44:40,10349,CASE_000011,SYNTHETIC_PROTOTYPE
W_0000011,ACC_007936,SYN_ATM_00806,2024-12-31 23:47:01,3788,CASE_000011,SYNTHETIC_PROTOTYPE
W_0000012,ACC_014211,SYN_ATM_10633,2025-01-01 08:01:04,6214,CASE_000013,SYNTHETIC_PROTOTYPE
W_0000013,ACC_009396,SYN_ATM_10646,2024-12-29 09:18:10,1000,CASE_000013,SYNTHETIC_PROTOTYPE
W_0000014,ACC_002764,SYN_ATM_03174,2025-01-01 09:03:39,52029,CASE_000014,SYNTHETIC_PROTOTYPE
W_0000015,ACC_019718,SYN_ATM_03104,2024-12-29 19:30:36,11997,CASE_000014,SYNTHETIC_PROTOTYPE
W_0000016,ACC_015916,SYN_ATM_05835,2025-01-01 12:40:09,15431,CASE_000015,SYNTHETIC_PROTOTYPE
W_0000017,ACC_008755,SYN_ATM_17179,2025-01-01 12:41:39,13871,CASE_000016,SYNTHETIC_PROTOTYPE
