atm_id,bank,atm_name,state_ut,zone_name,zone_id,latitude,longitude,source_type,source_note
SYN_ATM_00001,ICICI Bank,ICICI Bank ATM,Andaman and Nicobar Islands,Andaman and Nicobar Islands Zone 04,AN_Z03,11.799893,92.494441,SYNTHETIC_PROTOTYPE,Synthetic ATM reference point for SIH prototype; bank name is a realistic display/operator label and location is not an official ATM inventory.
SYN_ATM_00002,Kotak Mahindra Bank,Kotak Mahindra Bank ATM,Andaman and Nicobar Islands,Andaman and Nicobar Islands Zone 03,AN_Z02,11.780127,92.740047,SYNTHETIC_PROTOTYPE,Synthetic ATM reference point for SIH prototype; bank name is a realistic display/operator label and location is not an official ATM inventory.
SYN_ATM_00003,Punjab National Bank,Punjab National Bank ATM,Andaman and Nicobar Islands,Andaman and Nicobar Islands Zone 03,AN_Z02,11.600908,92.796279,SYNTHETIC_PROTOTYPE,Synthetic ATM reference point for SIH prototype; bank name is a realistic display/operator label and location is not an official ATM inventory.
SYN_ATM_00004,ICICI Bank,ICICI Bank ATM,Andaman and Nicobar Islands,Andaman and Nicobar Islands Zone 03,AN_Z02,11.722995,92.706419,SYNTHETIC_PROTOTYPE,Synthetic ATM reference point for SIH prototype; bank name is a realistic display/operator label and location is not an official ATM inventory.
SYN_ATM_00005,ICICI Bank,ICICI Bank ATM,Andaman and Nicobar Islands,Andaman and Nicobar Islands Zone 04,AN_Z03,11.719397,92.643664,SYNTHETIC_PROTOTYPE,Synthetic ATM reference point for SIH prototype; bank name is a realistic display/operator label and location is not an official ATM inventory.
SYN_ATM_00006,Bank of India,Bank of India ATM,Andaman and Nicobar Islands,Andaman and Nicobar Islands Zone 03,AN_Z02,11.890083,92.643331,SYNTHETIC_PROTOTYPE,Synthetic ATM reference point for SIH prototype; bank name is a realistic display/operator label and location is not an official ATM inventory.
SYN_ATM_00007,Bank of India,Bank of India ATM,Andaman and Nicobar Islands,Andaman and Nicobar Islands Zone 04,AN_Z03,11.723993,92.623921,SYNTHETIC_PROTOTYPE,Synthetic ATM reference point for SIH prototype; bank name is a realistic display/operator label and location is not an official ATM inventory.
SYN_ATM_00008,State Bank of India,State Bank of India ATM,Andaman and Nicobar Islands,Andaman and Nicobar Islands Zone 04,AN_Z03,11.725875,92.658477,SYNTHETIC_PROTOTYPE,Synthetic ATM reference point for SIH prototype; bank name is a realistic display/operator label and location is not an official ATM inventory.
SYN_ATM_00009,State Bank of India,State Bank of India ATM,Andaman and Nicobar Islands,Andaman and Nicobar Islands Zone 03,AN_Z02,11.714757,92.679989,SYNTHETIC_PROTOTYPE,Synthetic ATM reference point for SIH prototype; bank name is a realistic display/operator label and location is not an official ATM inventory.
SYN_ATM_00010,Canara Bank,Canara Bank ATM,Andaman and Nicobar Islands,Andaman and Nicobar Islands Zone 04,AN_Z03,11.726995,92.636442,SYNTHETIC_PROTOTYPE,Synthetic ATM reference point for SIH prototype; bank name is a realistic display/operator label and location is not an official ATM inventory.
SYN_ATM_00011,Canara Bank,Canara Bank ATM,Andaman and Nicobar Islands,Andaman and Nicobar Islands Zone 03,AN_Z02,11.791419,92.720058,SYNTHETIC_PROTOTYPE,Synthetic ATM reference point for SIH prototype; bank name is a realistic display/operator label and location is not an official ATM inventory.
SYN_ATM_00012,HDFC Bank,HDFC Bank ATM,Andaman and Nicobar Islands,Andaman and Nicobar Islands Zone 04,AN_Z03,11.681146,92.674194,SYNTHETIC_PROTOTYPE,Synthetic ATM reference point for SIH prototype; bank name is a realistic display/operator label and location is not an official ATM inventory.
SYN_ATM_00013,Kotak Mahindra Bank,Kotak Mahindra Bank ATM,Andaman and Nicobar Islands,Andaman and Nicobar Islands Zone 04,AN_Z03,11.66171,92.555852,SYNTHETIC_PROTOTYPE,Synthetic ATM reference point for SIH prototype; bank name is a realistic display/operator label and location is not an official ATM inventory.
SYN_ATM_00014,IndusInd Bank,IndusInd Bank ATM,Andaman and Nicobar Islands,Andaman and Nicobar Islands Zone 03,AN_Z02,11.781903,92.815858,SYNTHETIC_PROTOTYPE,Synthetic ATM reference point for SIH prototype; bank name is a realistic display/operator label and location is not an official ATM inventory.
SYN_ATM_00015,HDFC Bank,HDFC Bank ATM,Andaman and Nicobar Islands,Andaman and Nicobar Islands Zone 04,AN_Z03,11.792613,92.536554,SYNTHETIC_PROTOTYPE,Synthetic ATM reference point for SIH prototype; bank name is a realistic display/operator label and location is not an official ATM inventory.
SYN_ATM_00016,HDFC Bank,HDFC Bank ATM,Andaman and Nicobar Islands,Andaman and Nicobar Islands Zone 03,AN_Z02,11.766697,92.852234,SYNTHETIC_PROTOTYPE,Synthetic ATM reference point for SIH prototype; bank name is a realistic display/operator label and location is not an official ATM inventory.
