case_id,cashout_occurred,source_type,cashout_atm_id,cashout_time,cashout_amount,outcome_status
CASE_000001,1,SYNTHETIC_PROTOTYPE,SYN_ATM_09974,2025-01-01 03:18:19,16531,Cash-out observed after prediction point
CASE_000002,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000003,1,SYNTHETIC_PROTOTYPE,SYN_ATM_01467,2025-01-01 06:59:05,4032,Cash-out observed after prediction point
CASE_000004,1,SYNTHETIC_PROTOTYPE,SYN_ATM_13356,2025-01-01 03:37:03,3659,Cash-out observed after prediction point
CASE_000005,1,SYNTHETIC_PROTOTYPE,SYN_ATM_06176,2025-01-01 05:11:49,18523,Cash-out observed after prediction point
CASE_000006,1,SYNTHETIC_PROTOTYPE,SYN_ATM_17259,2025-01-01 03:50:36,57377,Cash-out observed after prediction point
CASE_000007,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000008,1,SYNTHETIC_PROTOTYPE,SYN_ATM_05076,2025-01-01 09:44:29,2378,Cash-out observed after prediction point
CASE_000009,1,SYNTHETIC_PROTOTYPE,SYN_ATM_05312,2025-01-01 10:58:52,4788,Cash-out observed after prediction point
CASE_000010,1,SYNTHETIC_PROTOTYPE,SYN_ATM_19445,2025-01-01 12:27:54,62862,Cash-out observed after prediction point
CASE_000011,1,SYNTHETIC_PROTOTYPE,SYN_ATM_00697,2025-01-01 11:44:40,10349,Cash-out observed after prediction point
CASE_000012,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000013,1,SYNTHETIC_PROTOTYPE,SYN_ATM_10633,2025-01-01 08:01:04,6214,Cash-out observed after prediction point
CASE_000014,1,SYNTHETIC_PROTOTYPE,SYN_ATM_03174,2025-01-01 09:03:39,52029,Cash-out observed after prediction point
CASE_000015,1,SYNTHETIC_PROTOTYPE,SYN_ATM_05835,2025-01-01 12:40:09,15431,Cash-out observed after prediction point
CASE_000016,1,SYNTHETIC_PROTOTYPE,SYN_ATM_17179,2025-01-01 12:41:39,13871,Cash-out observed after prediction point
CASE_000017,1,SYNTHETIC_PROTOTYPE,SYN_ATM_13076,2025-01-01 14:32:24,31079,Cash-out observed after prediction point
CASE_000018,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000019,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000020,1,SYNTHETIC_PROTOTYPE,SYN_ATM_11658,2025-01-01 18:36:35,10289,Cash-out observed after prediction point
CASE_000021,1,SYNTHETIC_PROTOTYPE,SYN_ATM_04635,2025-01-01 15:37:48,40556,Cash-out observed after prediction point
CASE_000022,1,SYNTHETIC_PROTOTYPE,SYN_ATM_00589,2025-01-01 17:25:39,6266,Cash-out observed after prediction point
CASE_000023,1,SYNTHETIC_PROTOTYPE,SYN_ATM_03173,2025-01-01 19:31:59,15141,Cash-out observed after prediction point
CASE_000024,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000025,1,SYNTHETIC_PROTOTYPE,SYN_ATM_17514,2025-01-01 21:04:25,18037,Cash-out observed after prediction point
CASE_000026,1,SYNTHETIC_PROTOTYPE,SYN_ATM_19879,2025-01-01 17:56:31,8402,Cash-out observed after prediction point
CASE_000027,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000028,1,SYNTHETIC_PROTOTYPE,SYN_ATM_00588,2025-01-02 01:28:28,5552,Cash-out observed after prediction point
CASE_000029,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000030,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000031,1,SYNTHETIC_PROTOTYPE,SYN_ATM_03156,2025-01-02 02:56:26,17902,Cash-out observed after prediction point
CASE_000032,1,SYNTHETIC_PROTOTYPE,SYN_ATM_13830,2025-01-02 02:48:50,7711,Cash-out observed after prediction point
CASE_000033,1,SYNTHETIC_PROTOTYPE,SYN_ATM_08024,2025-01-01 23:52:07,10692,Cash-out observed after prediction point
CASE_000034,1,SYNTHETIC_PROTOTYPE,SYN_ATM_10691,2025-01-02 02:49:04,47748,Cash-out observed after prediction point
CASE_000035,1,SYNTHETIC_PROTOTYPE,SYN_ATM_03366,2025-01-02 07:09:42,12363,Cash-out observed after prediction point
CASE_000036,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000037,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000038,1,SYNTHETIC_PROTOTYPE,SYN_ATM_08302,2025-01-02 07:43:54,8480,Cash-out observed after prediction point
CASE_000039,1,SYNTHETIC_PROTOTYPE,SYN_ATM_04240,2025-01-02 04:47:38,20546,Cash-out observed after prediction point
CASE_000040,1,SYNTHETIC_PROTOTYPE,SYN_ATM_09638,2025-01-02 09:18:21,2083,Cash-out observed after prediction point
CASE_000041,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000042,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000043,1,SYNTHETIC_PROTOTYPE,SYN_ATM_17778,2025-01-02 09:53:13,6082,Cash-out observed after prediction point
CASE_000044,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000045,1,SYNTHETIC_PROTOTYPE,SYN_ATM_04017,2025-01-02 15:44:58,3124,Cash-out observed after prediction point
