account_id,bank_id,account_type,account_age_days,account_status,previous_alert_count,state_code,source_type,source_system,incoming_amount_total,incoming_transaction_count,unique_senders,outgoing_amount_total,outgoing_transaction_count,unique_receivers,fund_split_ratio,transfer_velocity,network_degree,network_risk_score
ACC_000001,BANK04,Savings,1755,Active,1,HR,SYNTHETIC_DERIVED,ACCOUNT_TRANSACTION_GRAPH_DERIVED,94789.0,10.0,8.0,77902.0,10.0,10.0,0.8218464167783182,0.1709401709401709,18.0,0.4105325246456073
ACC_000002,BANK11,Savings,246,Active,1,MH,SYNTHETIC_DERIVED,ACCOUNT_TRANSACTION_GRAPH_DERIVED,6837.0,2.0,2.0,20928.0,1.0,1.0,3.060991663010092,0.1219512195121951,3.0,0.4287195121951219
ACC_000003,BANK01,Savings,1867,Active,0,DL,SYNTHETIC_DERIVED,ACCOUNT_TRANSACTION_GRAPH_DERIVED,32387.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0375
ACC_000004,BANK04,Current,1931,Active,0,LA,SYNTHETIC_DERIVED,ACCOUNT_TRANSACTION_GRAPH_DERIVED,1734.0,2.0,2.0,725.0,1.0,1.0,0.4181084198385236,0.0155359917141377,3.0,0.110824333388883
ACC_000005,BANK07,Savings,44,Active,3,KL,SYNTHETIC_DERIVED,ACCOUNT_TRANSACTION_GRAPH_DERIVED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12
ACC_000006,BANK08,Current,2127,Active,0,SK,SYNTHETIC_DERIVED,ACCOUNT_TRANSACTION_GRAPH_DERIVED,24236.0,4.0,4.0,19986.0,2.0,2.0,0.8246410298729163,0.0282087447108603,6.0,0.2195942676748689
ACC_000007,BANK02,Savings,662,Active,0,LD,SYNTHETIC_DERIVED,ACCOUNT_TRANSACTION_GRAPH_DERIVED,44330.0,10.0,6.0,39722.0,11.0,8.0,0.8960523347620122,0.4984894259818731,14.0,0.3367940528431709
ACC_000008,BANK05,Current,1609,Active,1,OD,SYNTHETIC_DERIVED,ACCOUNT_TRANSACTION_GRAPH_DERIVED,15542.0,4.0,4.0,4006.0,3.0,3.0,0.2577531849182859,0.0559353635798632,7.0,0.1731661609964986
ACC_000009,BANK05,Savings,2076,Active,0,JH,SYNTHETIC_DERIVED,ACCOUNT_TRANSACTION_GRAPH_DERIVED,242680.0,11.0,11.0,135864.0,12.0,12.0,0.5598483599802209,0.1734104046242774,23.0,0.3497075670427814
ACC_000010,BANK09,Savings,17,Active,0,RJ,SYNTHETIC_DERIVED,ACCOUNT_TRANSACTION_GRAPH_DERIVED,14967.0,3.0,3.0,13456.0,2.0,2.0,0.8990445647090265,3.5294117647058822,5.0,0.2551269164711384
ACC_000011,BANK04,Current,1569,Active,0,HP,SYNTHETIC_DERIVED,ACCOUNT_TRANSACTION_GRAPH_DERIVED,14081.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0125
ACC_000012,BANK02,Savings,2280,Active,0,PY,SYNTHETIC_DERIVED,ACCOUNT_TRANSACTION_GRAPH_DERIVED,17290.0,2.0,2.0,2397.0,1.0,1.0,0.1386350491613649,0.0131578947368421,3.0,0.0618927125506072
ACC_000013,BANK01,Savings,602,Active,2,TS,SYNTHETIC_DERIVED,ACCOUNT_TRANSACTION_GRAPH_DERIVED,9984.0,3.0,3.0,4041.0,2.0,2.0,0.4047475961538461,0.0996677740863787,5.0,0.2143275070677869
ACC_000014,BANK02,Savings,1757,Active,0,CH,SYNTHETIC_DERIVED,ACCOUNT_TRANSACTION_GRAPH_DERIVED,27586.0,4.0,4.0,3351.0,1.0,1.0,0.1214746610599579,0.0170745589072282,5.0,0.0839288112745649
ACC_000015,BANK09,Savings,432,Active,0,WB,SYNTHETIC_DERIVED,ACCOUNT_TRANSACTION_GRAPH_DERIVED,238080.0,4.0,4.0,86175.0,3.0,3.0,0.3619581653225806,0.2083333333333333,7.0,0.1529260122647849
ACC_000016,BANK02,Savings,526,Active,1,BR,SYNTHETIC_DERIVED,ACCOUNT_TRANSACTION_GRAPH_DERIVED,105155.0,8.0,7.0,74259.0,5.0,5.0,0.7061861062241453,0.2851711026615969,12.0,0.3164342796158413
ACC_000017,BANK05,Current,2082,Active,0,AR,SYNTHETIC_DERIVED,ACCOUNT_TRANSACTION_GRAPH_DERIVED,44903.0,9.0,7.0,37759.0,7.0,6.0,0.8409014987862726,0.100864553314121,13.0,0.3106664078207389
ACC_000018,BANK07,Savings,642,Active,1,CH,SYNTHETIC_DERIVED,ACCOUNT_TRANSACTION_GRAPH_DERIVED,338268.0,4.0,4.0,183783.0,9.0,9.0,0.54330589946433,0.4205607476635514,13.0,0.3017841398828932
ACC_000019,BANK02,Savings,1448,Active,0,PY,SYNTHETIC_DERIVED,ACCOUNT_TRANSACTION_GRAPH_DERIVED,5959.0,4.0,4.0,972.0,1.0,1.0,0.1631146165464004,0.0207182320441988,5.0,0.091252240216062
ACC_000020,BANK01,Current,2064,Active,0,LA,SYNTHETIC_DERIVED,ACCOUNT_TRANSACTION_GRAPH_DERIVED,3021.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.025
ACC_000021,BANK02,Savings,1713,Active,0,AS,SYNTHETIC_DERIVED,ACCOUNT_TRANSACTION_GRAPH_DERIVED,11457.0,4.0,4.0,1150.0,1.0,1.0,0.1003753164004538,0.0175131348511383,5.0,0.0802408117185908
ACC_000022,BANK09,Savings,690,Active,1,OD,SYNTHETIC_DERIVED,ACCOUNT_TRANSACTION_GRAPH_DERIVED,57215.0,6.0,6.0,8653.0,4.0,4.0,0.1512365638381543,0.1739130434782608,10.0,0.1932055291064596
ACC_000023,BANK02,Savings,739,Active,0,UP,SYNTHETIC_DERIVED,ACCOUNT_TRANSACTION_GRAPH_DERIVED,15244.0,3.0,3.0,2522.0,1.0,1.0,0.1654421411702965,0.040595399188092,4.0,0.0793583286966828
ACC_000024,BANK02,Savings,1460,Active,0,CH,SYNTHETIC_DERIVED,ACCOUNT_TRANSACTION_GRAPH_DERIVED,27097.0,2.0,2.0,8383.0,2.0,2.0,0.3093700409639443,0.0410958904109589,4.0,0.1045507160727998
ACC_000025,BANK05,Current,1947,Active,0,PB,SYNTHETIC_DERIVED,ACCOUNT_TRANSACTION_GRAPH_DERIVED,42476.0,3.0,3.0,21583.0,3.0,3.0,0.5081222337319898,0.0462249614791987,6.0,0.1643836405178902
ACC_000026,BANK03,Savings,2125,Active,1,OD,SYNTHETIC_DERIVED,ACCOUNT_TRANSACTION_GRAPH_DERIVED,40990.0,4.0,4.0,25439.0,2.0,2.0,0.6206147840936814,0.028235294117647,6.0,0.2238899401575707
ACC_000027,BANK11,Savings,628,Active,0,TS,SYNTHETIC_DERIVED,ACCOUNT_TRANSACTION_GRAPH_DERIVED,31559.0,3.0,3.0,2318.0,1.0,1.0,0.0734497290788681,0.0477707006369426,4.0,0.0633314095951713
ACC_000028,BANK12,Savings,2398,Dormant,0,MZ,SYNTHETIC_DERIVED,ACCOUNT_TRANSACTION_GRAPH_DERIVED,5434.0,3.0,2.0,3720.0,2.0,2.0,0.6845785793154214,0.0250208507089241,4.0,0.1700514598872879
ACC_000029,BANK03,Current,1936,Active,0,MH,SYNTHETIC_DERIVED,ACCOUNT_TRANSACTION_GRAPH_DERIVED,3321.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.025
