column,type,role
case_tx_count_pre_prediction,numeric,INPUT
case_tx_amount_pre_prediction,numeric,INPUT
unique_receivers_pre_prediction,numeric,INPUT
unique_senders_pre_prediction,numeric,INPUT
transaction_rapidity_pre_prediction,numeric,INPUT
fund_split_ratio_pre_prediction,numeric,INPUT
account_age_days,numeric,INPUT
previous_alert_count,numeric,INPUT
network_degree,numeric,INPUT
network_risk_score,numeric,INPUT
historical_cashout_count_pre_prediction,numeric,INPUT
historical_cashout_amount_pre_prediction,numeric,INPUT
time_similarity,numeric,INPUT
network_similarity,numeric,INPUT
distance_from_complaint_state_km,numeric,INPUT
atm_density,numeric,INPUT
recent_cashout_24h_pre_prediction,numeric,INPUT
location_risk_score_pre_prediction,numeric,INPUT
fraud_type,categorical,INPUT
reported_amount,numeric,INPUT
actual_cashout_in_zone,binary,TARGET
